"survey_period","site","live_coral_pct","dead_coral_pct","macroalgae_pct","rubble_pct","bleached_pct","n_transects","source"
"Jul_2025","Richard Bennett",29.36,20.24,28.56,10.64,0,2,"COMRED"
"Jul_2025","Roka 1",8.08,8.48,55.2,12.8,0,2,"COMRED"
"Jul_2025","Turtle Reef",19.6,19.6,31.04,19.6,0,2,"COMRED"
"Jul_2025","Uyombo",30.4,16.56,24.08,16.56,0,2,"COMRED"
"Jul_2025","Watamu Coral Garden",22.48,19.84,27.52,20.64,0,2,"COMRED"
"Nov_2024","Kanamai",47.5,NA,12.8571428571429,15,NA,12,"PU-GOAP"
"Nov_2024","Kilifi",48.3333333333333,NA,46.6,15,NA,27,"PU-GOAP"
"Nov_2024","Malindi MPA",46.4285714285714,36.5,25,16.25,NA,14,"PU-GOAP"
"Nov_2024","Mtwapa",45.9090909090909,NA,35.625,18.1818181818182,NA,11,"PU-GOAP"
"Nov_2024","Ras Kitau",12.8571428571429,62.1428571428571,NA,NA,25,7,"PU-GOAP"
"Nov_2024","Ras ngomeni",39,37,11.25,NA,18.3333333333333,5,"PU-GOAP"
