"area","site","plot_no","n_stems","n_species","stem_density_ha","mean_dbh_cm","mean_height_m","canopy_cover_pct","quality_index","lon_dd","lat_dd","forest_type","inundation_class","survey_phase","ci_stem_density","ci_mean_dbh","ci_mean_height","ci_canopy_cover","ci_quality_index","ci_composite","n_indicators"
"Kilifi Creek","Mandarini",4,30,2,3000,5.83492336602144,5.38095238095238,30,0.766666666666667,39.8077777777778,-3.64400805555556,"Mixed stand",1,"main",1,0.166760198001261,0.338095238095238,0,0.766666666666667,0.454304420552633,5
"Kilifi Creek","Mandarini",5,13,1,1300,4.66069335350306,4.002,30,0,39.8075722222222,-3.64402333333333,"Pure stand",3,"main",0.392857142857143,0.0976878443237096,0.2002,0,0,0.13814899743617,5
"Kilifi Creek","Mtongani",1,13,1,1300,3.93559227471767,3.74583333333333,10,0,39.8027444444444,-3.64276944444444,"Pure stand",3,"main",0.392857142857143,0.0550348396892748,0.174583333333333,0,0,0.12449506317595,5
"Kilifi Creek","Mtongani",2,45,2,4500,6.65362680000595,4.4955223880597,10,0.0444444444444444,39.8037444444444,-3.64305555555556,"Mixed stand",2,"main",1,0.214919223529762,0.24955223880597,0,0.0444444444444444,0.301783181356035,5
"Kilifi Creek","Mtongani",3,9,2,900,14.9577967385844,6.61739130434783,10,0,39.8058166666667,-3.64388888888889,"Mixed stand",1,"main",0.25,0.703399808152023,0.461739130434783,0,0,0.283027787717361,5
"Marereni","Kadzuyuni",4,66,1,6600,4.81954673986068,4.9178947368421,70,0,40.1747277777778,-2.76280555555556,"Ceriops tagal pure stand",2,"main",1,0.107032161168275,0.29178947368421,0.666666666666667,0,0.41309766030383,5
"Marereni","Kadzuyuni",5,58,2,5800,6.94722534690707,6.87323943661972,70,0.0517241379310345,40.1713277777778,-2.76841944444444,"Mixed stand",1,"main",1,0.232189726288651,0.487323943661972,0.666666666666667,0.0517241379310345,0.487580894909665,5
"Marereni","Kurawa-kanagoni",1,56,2,5600,6.42318546136356,7.12741935483871,70,0.107142857142857,40.1710722222222,-2.74392222222222,"Mixed stand",1,"main",1,0.201363850668445,0.512741935483871,0.666666666666667,0.107142857142857,0.497583061992368,5
"Marereni","Kurawa-kanagoni",2,78,2,7800,4.81272065169257,4.37941176470588,50,0.0256410256410256,40.1734388888889,-2.74510277777778,"Mixed stand",2,"main",1,0.106630626570151,0.237941176470588,0.333333333333333,0.0256410256410256,0.34070923240302,5
"Marereni","Kwa Nzai",3,43,2,4300,6.95322037424266,7.66744186046512,30,0.232558139534884,40.1734444444444,-2.75226666666667,"Mixed stand",1,"main",1,0.232542374955451,0.566744186046512,0,0.232558139534884,0.406368940107369,5
"Marereni","Mto wa Mawe",1,30,2,3000,4.57963312198097,3.25063291139241,50,0.1,40.1683,-2.86144,"Mixed (Ct, Bg)",2,"main",1,0.0929195954106452,0.125063291139241,0.333333333333333,0.1,0.330263243976644,5
"Marereni","Mto wa Mawe",2,21,3,2100,6.24417893397203,4.48333333333333,50,0.19047619047619,40.16926,-2.86191,"Mixed (Rm, Ct, Am, Bg)",2,"main",0.678571428571429,0.190834054939531,0.248333333333333,0.333333333333333,0.19047619047619,0.328309668130763,5
"Marereni","Mto wa Mawe",3,30,2,3000,4.65329264864929,2.4375,50,0.866666666666667,40.16803,-2.86016,"CT,AM, BG",3,"reconnaissance",1,0.0972525087440759,0.04375,0.333333333333333,0.866666666666667,0.468200501748815,5
"Marereni","Mto wa Mawe",4,67,2,6700,4.5340334002975,2.10752688172043,50,0.985074626865672,40.16787,-2.86267,"XG,RM,CT",2,"reconnaissance",1,0.0902372588410294,0.010752688172043,0.333333333333333,0.985074626865672,0.483879581442415,5
"Mida Creek","Boardwalk",1,36,1,3600,6.5509558532651,4.42826086956522,50,0.333333333333333,39.96325,-3.32584,"Mixed (Rm, Ct, Bg)",2,"main",1,0.208879756074418,0.242826086956522,0.333333333333333,0.333333333333333,0.423674501939521,5
"Mida Creek","Boardwalk",2,3,2,300,5.04144985190364,3.47090909090909,10,0.333333333333333,39.96247,-3.32574,"Mixed (Am, Ct, Rm)",3,"main",0.0357142857142857,0.120085285406096,0.147090909090909,0,0.333333333333333,0.127244762708925,5
"Mida Creek","Debaso Rock",2,54,3,5400,5.71248353149466,7.33148148148148,70,0.296296296296296,39.9895166666667,-3.36168611111111,"Mixed stand",2,"main",1,0.159557854793803,0.533148148148148,0.666666666666667,0.296296296296296,0.531133793180983,5
"Mida Creek","Debaso Rock",5,25,1,2500,10.4853634359949,8.21481481481481,70,0,39.9882611111111,-3.34223611111111,"Mixed stand",2,"main",0.821428571428571,0.440315496234997,0.621481481481481,0.666666666666667,0,0.509978443162343,5
"Mida Creek","Kachaa",1,57,2,5700,5.93899235011336,7.17543859649123,70,0.12280701754386,39.9885305555556,-3.36851388888889,"Mixed stand",2,"main",1,0.172881902947845,0.517543859649123,0.666666666666667,0.12280701754386,0.495979889361499,5
"Mida Creek","Kidundu",4,38,3,3800,7.68634609374332,5.5421052631579,70,0.31578947368421,39.79943,-3.63948,"Mixed (Rm, Ct, Bg)",1,"main",1,0.275667417279019,0.35421052631579,0.666666666666667,0.31578947368421,0.522466816789137,5
"Mida Creek","Kwazimba Island",4,29,2,2900,7.08830643690419,5.58857142857143,70,0.0344827586206897,39.9893152777778,-3.36144722222222,"Am/Ct",3,"reconnaissance",0.964285714285714,0.24048861393554,0.358857142857143,0.666666666666667,0.0344827586206897,0.452956179273151,5
"Mida Creek","Luwahi",3,68,3,6800,5.71600297086804,7.51617647058824,70,0.161764705882353,39.9893611111111,-3.35844722222222,"Mixed stand",2,"main",1,0.159764880639297,0.551617647058824,0.666666666666667,0.161764705882353,0.507962780049428,5
"Mida Creek","Mida",3,38,3,3800,4.47898737924384,2.09615384615385,50,0.973684210526316,39.96168,-3.3266,"CT,RM,BG",2,"reconnaissance",1,0.0869992576025788,0.00961538461538463,0.333333333333333,0.973684210526316,0.480726437215522,5
"Mida Creek","Mida",4,28,3,2800,5.32562754812737,1.92857142857143,50,0.964285714285714,39.96031,-3.3268,"CT,RM,AM",2,"reconnaissance",0.928571428571429,0.136801620478081,0,0.333333333333333,0.964285714285714,0.472598419333711,5
"Mida Creek","Mida",5,5,2,500,7.50739761191992,2.44444444444444,30,1,39.95702,-3.32785,"CT,AM",2,"reconnaissance",0.107142857142857,0.26514103599529,0.0444444444444445,0,1,0.283345667516518,5
"Mida Creek","Mwinyihaji",1,121,3,12100,4.14228936138544,1.77165354330709,40,0.966942148760331,39.7966473228346,-3.63730858267717,"CT,RM",2,"main",1,0.0671934918462023,0,0.166666666666667,0.966942148760331,0.44016046145464,5
"Mida Creek","Mzodzongoloni",3,63,2,6300,3.5615339487453,3.27460317460317,30,0.19047619047619,39.79517,-3.63487,"Mixed (Ct, Rm)",1,"main",1,0.0330314087497237,0.127460317460317,0,0.19047619047619,0.270193583337246,5
"Ngomeni","Darajani",2,51,2,5100,5.97172082901233,5.06428571428571,30,0.0392156862745098,40.1817777777778,-2.99847222222222,"Mixed stand",2,"reconnaissance",1,0.174807107588961,0.306428571428571,0,0.0392156862745098,0.304090273058408,5
"Ngomeni","Fisheries",3,29,2,2900,3.78894867854105,3.81833333333333,50,0.0344827586206897,40.1808888888889,-3.01716111111111,"Pure stand",3,"reconnaissance",0.964285714285714,0.0464087457965326,0.181833333333333,0.333333333333333,0.0344827586206897,0.312068777073921,5
"Ngomeni","Kaogoni",4,60,2,6000,5.41571041188767,4.71978021978022,70,0,40.18055,-3.00801944444444,"Mixed stand",2,"reconnaissance",1,0.14210061246398,0.271978021978022,0.666666666666667,0,0.416149060221734,5
"Ngomeni","Kwa Doughlas",2,45,3,4500,5.91356106552246,4.27,50,0.533333333333333,40.21909,-2.99051,"Mixed (Rm, Ct, Bg)",2,"main",1,0.171385945030733,0.227,0.333333333333333,0.533333333333333,0.45301052233948,5
"Ngomeni","Pwani toto",1,25,2,2500,5.8451126507379,4.55185185185185,30,0,40.1836138888889,-2.99652777777778,"Mixed stand",1,"reconnaissance",0.821428571428571,0.167359567690465,0.255185185185185,0,0,0.248794664860844,5
"Ngomeni","Rasi",1,55,1,5500,6.1717393204799,5.67636363636364,70,0.127272727272727,40.21418,-2.99195,"Pure",1,"main",1,0.1865729012047,0.367636363636364,0.666666666666667,0.127272727272727,0.469629731756091,5
"Ngomeni","Rasi",2,59,1,5900,5.40263593261776,5.45762711864407,50,0.322033898305085,40.2153,-2.99144,"Mixed (Rm, Ct)",1,"main",1,0.141331525448104,0.345762711864407,0.333333333333333,0.322033898305085,0.428492293790186,5
"Ngomeni","Rasi",3,52,4,5200,5.55944680524448,2.01724137931034,50,1,40.21686,-2.99078,"RM, CT, AM, BG",1,"reconnaissance",1,0.150555694426146,0.00172413793103448,0.333333333333333,1,0.497122633138103,5
"Ngomeni","Rasi Msikiti",4,54,2,5400,5.98656637412426,2,30,0.981481481481482,40.21683,-2.99186,"CT,AM",1,"reconnaissance",1,0.175680374948486,0,0,0.981481481481482,0.431432371285994,5
