"area","site","plot_no","lon_dd","lat_dd","forest_type","inundation_class","survey_phase"
"Kilifi Creek","Mandarini",4,39.8077777777778,-3.64400805555556,"Mixed stand",1,"main"
"Kilifi Creek","Mandarini",5,39.8075722222222,-3.64402333333333,"Pure stand",3,"main"
"Kilifi Creek","Mtongani",1,39.8027444444444,-3.64276944444444,"Pure stand",3,"main"
"Kilifi Creek","Mtongani",2,39.8037444444444,-3.64305555555556,"Mixed stand",2,"main"
"Kilifi Creek","Mtongani",3,39.8058166666667,-3.64388888888889,"Mixed stand",1,"main"
"Marereni","Kadzuyuni",4,40.1747277777778,-2.76280555555556,"Ceriops tagal pure stand",2,"main"
"Marereni","Kadzuyuni",5,40.1713277777778,-2.76841944444444,"Mixed stand",1,"main"
"Marereni","Kurawa-kanagoni",1,40.1710722222222,-2.74392222222222,"Mixed stand",1,"main"
"Marereni","Kurawa-kanagoni",2,40.1734388888889,-2.74510277777778,"Mixed stand",2,"main"
"Marereni","Kwa Nzai",3,40.1734444444444,-2.75226666666667,"Mixed stand",1,"main"
"Marereni","Mto wa Mawe",1,40.1683,-2.86144,"Mixed (Ct, Bg)",2,"main"
"Marereni","Mto wa Mawe",2,40.16926,-2.86191,"Mixed (Rm, Ct, Am, Bg)",2,"main"
"Marereni","Mto wa Mawe",3,40.16803,-2.86016,"CT,AM, BG",3,"reconnaissance"
"Marereni","Mto wa Mawe",4,40.16787,-2.86267,"XG,RM,CT",2,"reconnaissance"
"Mida Creek","Boardwalk",1,39.96325,-3.32584,"Mixed (Rm, Ct, Bg)",2,"main"
"Mida Creek","Boardwalk",2,39.96247,-3.32574,"Mixed (Am, Ct, Rm)",3,"main"
"Mida Creek","Debaso Rock",2,39.9895166666667,-3.36168611111111,"Mixed stand",2,"main"
"Mida Creek","Debaso Rock",5,39.9882611111111,-3.34223611111111,"Mixed stand",2,"main"
"Mida Creek","Kachaa",1,39.9885305555556,-3.36851388888889,"Mixed stand",2,"main"
"Mida Creek","Kidundu",4,39.79943,-3.63948,"Mixed (Rm, Ct, Bg)",1,"main"
"Mida Creek","Kwazimba Island",4,39.9893152777778,-3.36144722222222,"Am/Ct",3,"reconnaissance"
"Mida Creek","Luwahi",3,39.9893611111111,-3.35844722222222,"Mixed stand",2,"main"
"Mida Creek","Mida",3,39.96168,-3.3266,"CT,RM,BG",2,"reconnaissance"
"Mida Creek","Mida",4,39.96031,-3.3268,"CT,RM,AM",2,"reconnaissance"
"Mida Creek","Mida",5,39.95702,-3.32785,"CT,AM",2,"reconnaissance"
"Mida Creek","Mwinyihaji",1,39.7966473228346,-3.63730858267717,"CT,RM",2,"main"
"Mida Creek","Mzodzongoloni",3,39.79517,-3.63487,"Mixed (Ct, Rm)",1,"main"
"Ngomeni","Darajani",2,40.1817777777778,-2.99847222222222,"Mixed stand",2,"reconnaissance"
"Ngomeni","Fisheries",3,40.1808888888889,-3.01716111111111,"Pure stand",3,"reconnaissance"
"Ngomeni","Kaogoni",4,40.18055,-3.00801944444444,"Mixed stand",2,"reconnaissance"
"Ngomeni","Kwa Doughlas",2,40.21909,-2.99051,"Mixed (Rm, Ct, Bg)",2,"main"
"Ngomeni","Pwani toto",1,40.1836138888889,-2.99652777777778,"Mixed stand",1,"reconnaissance"
"Ngomeni","Rasi",1,40.21418,-2.99195,"Pure",1,"main"
"Ngomeni","Rasi",2,40.2153,-2.99144,"Mixed (Rm, Ct)",1,"main"
"Ngomeni","Rasi",3,40.21686,-2.99078,"RM, CT, AM, BG",1,"reconnaissance"
"Ngomeni","Rasi Msikiti",4,40.21683,-2.99186,"CT,AM",1,"reconnaissance"
