"area","site","species","n_stems","total_stems","pct_abundance"
"Kilifi Creek","Mandarini","Avicennia marina",15,43,34.9
"Kilifi Creek","Mandarini","Rhizophora mucronata",28,43,65.1
"Kilifi Creek","Mtongani","Avicennia marina",17,67,25.4
"Kilifi Creek","Mtongani","Ceriops tagal",15,67,22.4
"Kilifi Creek","Mtongani","Rhizophora mucronata",35,67,52.2
"Marereni","Kadzuyuni","Ceriops tagal",107,124,86.3
"Marereni","Kadzuyuni","Rhizophora mucronata",17,124,13.7
"Marereni","Kurawa-kanagoni","Ceriops tagal",57,134,42.5
"Marereni","Kurawa-kanagoni","Rhizophora mucronata",77,134,57.5
"Marereni","Kwa Nzai","Ceriops tagal",5,43,11.6
"Marereni","Kwa Nzai","Rhizophora mucronata",38,43,88.4
"Marereni","Mto wa Mawe","Avicennia marina",1,148,0.7
"Marereni","Mto wa Mawe","Bruguiera gymnorrhiza",2,148,1.4
"Marereni","Mto wa Mawe","Ceriops tagal",124,148,83.8
"Marereni","Mto wa Mawe","Rhizophora mucronata",21,148,14.2
"Mida Creek","Boardwalk","Avicennia marina",2,39,5.1
"Mida Creek","Boardwalk","Ceriops tagal",1,39,2.6
"Mida Creek","Boardwalk","Rhizophora mucronata",36,39,92.3
"Mida Creek","Debaso Rock","Bruguiera gymnorrhiza",3,79,3.8
"Mida Creek","Debaso Rock","Ceriops tagal",28,79,35.4
"Mida Creek","Debaso Rock","Rhizophora mucronata",48,79,60.8
"Mida Creek","Kachaa","Ceriops tagal",33,57,57.9
"Mida Creek","Kachaa","Rhizophora mucronata",24,57,42.1
"Mida Creek","Kidundu","Bruguiera gymnorrhiza",2,38,5.3
"Mida Creek","Kidundu","Ceriops tagal",1,38,2.6
"Mida Creek","Kidundu","Rhizophora mucronata",35,38,92.1
"Mida Creek","Kwazimba Island","Avicennia marina",3,29,10.3
"Mida Creek","Kwazimba Island","Ceriops tagal",26,29,89.7
"Mida Creek","Luwahi","Bruguiera gymnorrhiza",11,68,16.2
"Mida Creek","Luwahi","Ceriops tagal",10,68,14.7
"Mida Creek","Luwahi","Rhizophora mucronata",47,68,69.1
"Mida Creek","Mida","Avicennia marina",3,71,4.2
"Mida Creek","Mida","Bruguiera gymnorrhiza",1,71,1.4
"Mida Creek","Mida","Ceriops tagal",33,71,46.5
"Mida Creek","Mida","Rhizophora mucronata",34,71,47.9
"Mida Creek","Mwinyihaji","Bruguiera gymnorrhiza",5,121,4.1
"Mida Creek","Mwinyihaji","Ceriops tagal",6,121,5
"Mida Creek","Mwinyihaji","Rhizophora mucronata",110,121,90.9
"Mida Creek","Mzodzongoloni","Ceriops tagal",3,63,4.8
"Mida Creek","Mzodzongoloni","Rhizophora mucronata",60,63,95.2
"Ngomeni","Darajani","Ceriops tagal",1,51,2
"Ngomeni","Darajani","Rhizophora mucronata",50,51,98
"Ngomeni","Fisheries","Avicennia marina",25,29,86.2
"Ngomeni","Fisheries","Rhizophora mucronata",4,29,13.8
"Ngomeni","Kaogoni","Ceriops tagal",20,60,33.3
"Ngomeni","Kaogoni","Rhizophora mucronata",40,60,66.7
"Ngomeni","Kwa Doughlas","Bruguiera gymnorrhiza",2,45,4.4
"Ngomeni","Kwa Doughlas","Ceriops tagal",15,45,33.3
"Ngomeni","Kwa Doughlas","Rhizophora mucronata",28,45,62.2
"Ngomeni","Pwani toto","Ceriops tagal",4,25,16
"Ngomeni","Pwani toto","Rhizophora mucronata",21,25,84
"Ngomeni","Rasi","Avicennia marina",2,166,1.2
"Ngomeni","Rasi","Bruguiera gymnorrhiza",4,166,2.4
"Ngomeni","Rasi","Ceriops tagal",17,166,10.2
"Ngomeni","Rasi","Rhizophora mucronata",143,166,86.1
"Ngomeni","Rasi Msikiti","Ceriops tagal",4,54,7.4
"Ngomeni","Rasi Msikiti","Rhizophora mucronata",50,54,92.6
