"area","site","n_plots","mean_stem_density_ha","mean_dbh_cm","mean_height_m","mean_canopy_cover_pct","mean_quality_index","ci_stem_density","ci_mean_dbh","ci_mean_height","ci_canopy_cover","ci_quality_index","ci_composite","lon_dd","lat_dd","low_sample","pa_status"
"Kilifi Creek","Mandarini",2,2150,5.24780835976225,4.69147619047619,30,0.383333333333333,0.696428571428571,0.132224021162485,0.269147619047619,0,0.383333333333333,0.296226708994402,39.807675,-3.64401569444444,FALSE,"Unprotected"
"Kilifi Creek","Mtongani",3,2233.33333333333,8.51567193776934,4.95291567524695,10,0.0148148148148148,0.547619047619048,0.32445129045702,0.295291567524695,0,0.0148148148148148,0.236435344083116,39.8041018518518,-3.64323796296296,FALSE,"Unprotected"
"Marereni","Kadzuyuni",2,6200,5.88338604338388,5.89556708673091,70,0.0258620689655172,1,0.169610943728463,0.389556708673091,0.666666666666667,0.0258620689655172,0.450339277606748,40.1730277777778,-2.7656125,FALSE,"Unprotected"
"Marereni","Kurawa-kanagoni",2,6700,5.61795305652806,5.7534155597723,60,0.0663919413919414,1,0.153997238619298,0.37534155597723,0.5,0.0663919413919414,0.419146147197694,40.1722555555556,-2.7445125,FALSE,"Unprotected"
"Marereni","Kwa Nzai",1,4300,6.95322037424266,7.66744186046512,30,0.232558139534884,1,0.232542374955451,0.566744186046512,0,0.232558139534884,0.406368940107369,40.1734444444444,-2.75226666666667,TRUE,"Unprotected"
"Marereni","Mto wa Mawe",4,3700,5.00278452622495,3.06974828161154,50,0.535554371002132,0.919642857142857,0.11781085448382,0.106974828161154,0.333333333333333,0.535554371002132,0.402663248824659,40.168365,-2.861545,FALSE,"Unprotected"
"Mida Creek","Boardwalk",2,1950,5.79620285258437,3.94958498023715,30,0.333333333333333,0.517857142857143,0.164482520740257,0.194958498023715,0.166666666666667,0.333333333333333,0.275459632324223,39.96286,-3.32579,FALSE,"Mida Creek MNR"
"Mida Creek","Debaso Rock",2,3950,8.0989234837448,7.77314814814815,70,0.148148148148148,0.910714285714286,0.2999366755144,0.577314814814815,0.666666666666667,0.148148148148148,0.520556118171663,39.9888888888889,-3.35196111111111,FALSE,"Mida Creek MNR"
"Mida Creek","Kachaa",1,5700,5.93899235011336,7.17543859649123,70,0.12280701754386,1,0.172881902947845,0.517543859649123,0.666666666666667,0.12280701754386,0.495979889361499,39.9885305555556,-3.36851388888889,TRUE,"Mida Creek MNR"
"Mida Creek","Kidundu",1,3800,7.68634609374332,5.5421052631579,70,0.31578947368421,1,0.275667417279019,0.35421052631579,0.666666666666667,0.31578947368421,0.522466816789137,39.79943,-3.63948,TRUE,"Mida Creek MNR"
"Mida Creek","Kwazimba Island",1,2900,7.08830643690419,5.58857142857143,70,0.0344827586206897,0.964285714285714,0.24048861393554,0.358857142857143,0.666666666666667,0.0344827586206897,0.452956179273151,39.9893152777778,-3.36144722222222,TRUE,"Mida Creek MNR"
"Mida Creek","Luwahi",1,6800,5.71600297086804,7.51617647058824,70,0.161764705882353,1,0.159764880639297,0.551617647058824,0.666666666666667,0.161764705882353,0.507962780049428,39.9893611111111,-3.35844722222222,TRUE,"Mida Creek MNR"
"Mida Creek","Mida",3,2366.66666666667,5.77067084643038,2.15638990638991,43.3333333333333,0.979323308270677,0.678571428571429,0.162980638025316,0.018019943019943,0.222222222222222,0.979323308270677,0.412223508021917,39.95967,-3.32708333333333,FALSE,"Mida Creek MNR"
"Mida Creek","Mwinyihaji",1,12100,4.14228936138544,1.77165354330709,40,0.966942148760331,1,0.0671934918462023,0,0.166666666666667,0.966942148760331,0.44016046145464,39.7966473228346,-3.63730858267717,TRUE,"Unprotected"
"Mida Creek","Mzodzongoloni",1,6300,3.5615339487453,3.27460317460317,30,0.19047619047619,1,0.0330314087497237,0.127460317460317,0,0.19047619047619,0.270193583337246,39.79517,-3.63487,TRUE,"Unprotected"
"Ngomeni","Darajani",1,5100,5.97172082901233,5.06428571428571,30,0.0392156862745098,1,0.174807107588961,0.306428571428571,0,0.0392156862745098,0.304090273058408,40.1817777777778,-2.99847222222222,TRUE,"Unprotected"
"Ngomeni","Fisheries",1,2900,3.78894867854105,3.81833333333333,50,0.0344827586206897,0.964285714285714,0.0464087457965326,0.181833333333333,0.333333333333333,0.0344827586206897,0.312068777073921,40.1808888888889,-3.01716111111111,TRUE,"Unprotected"
"Ngomeni","Kaogoni",1,6000,5.41571041188767,4.71978021978022,70,0,1,0.14210061246398,0.271978021978022,0.666666666666667,0,0.416149060221734,40.18055,-3.00801944444444,TRUE,"Unprotected"
"Ngomeni","Kwa Doughlas",1,4500,5.91356106552246,4.27,50,0.533333333333333,1,0.171385945030733,0.227,0.333333333333333,0.533333333333333,0.45301052233948,40.21909,-2.99051,TRUE,"Unprotected"
"Ngomeni","Pwani toto",1,2500,5.8451126507379,4.55185185185185,30,0,0.821428571428571,0.167359567690465,0.255185185185185,0,0,0.248794664860844,40.1836138888889,-2.99652777777778,TRUE,"Unprotected"
"Ngomeni","Rasi",3,5533.33333333333,5.71127401944738,4.38374404477268,56.6666666666667,0.483102208525937,1,0.159486707026317,0.238374404477268,0.444444444444444,0.483102208525937,0.465081552894793,40.2154466666667,-2.99139,FALSE,"Unprotected"
"Ngomeni","Rasi Msikiti",1,5400,5.98656637412426,2,30,0.981481481481482,1,0.175680374948486,0,0,0.981481481481482,0.431432371285994,40.21683,-2.99186,TRUE,"Unprotected"
