Area,Species,Mean_Shoots_m2,Mean_Canopy_height_cm,n_quadrats
Bofa,Cymodocea rotundata,2922.222222222222,16.25,4
Bofa,Halodule uninervis,5333.333333333334,7,1
Bofa,Syringodium isoetifolium,3466.666666666667,17.6,5
Bofa,Thalassia hemprichii,1288.888888888889,12.5,2
Bofa,Thalassodendron ciliatum,1543.4343434343434,41.45454545454545,22
Jumba ruins,Cymodocea serrulata,2240,8.2,5
Jumba ruins,Syringodium isoetifolium,13511.111111111113,7.5,2
Jumba ruins,Thalassia hemprichii,1925.925925925926,6.666666666666667,3
Jumba ruins,Thalassodendron ciliatum,644.4444444444445,16.7,10
Kanamai,Cymodocea rotundata,1674.0740740740741,13.666666666666666,3
Kanamai,Halodule uninervis,8444.444444444445,6.5,2
Kanamai,Halodule wrightii,8288.88888888889,9,2
Kanamai,Halophila stipulacea,3666.666666666667,4.25,4
Kanamai,Thalassia hemprichii,1656.140350877193,10.894736842105264,19
Kanamai,Thalassodendron ciliatum,1488.8888888888891,15.5,2
Kikambala,Thalassia hemprichii,1377.7777777777778,12.541666666666666,24
Kuruwitu,Cymodocea rotundata,2277.777777777778,10.5,4
Kuruwitu,Halodule uninervis,2257.777777777778,9,5
Kuruwitu,Halodule wrightii,7200,9.5,2
Kuruwitu,Thalassia hemprichii,1562.3931623931624,11.692307692307692,13
Malindi marine park,Thalassodendron ciliatum,1417.7777777777778,33.075,40
Marereni,Cymodocea rotundata,622.2222222222223,17,1
Marereni,Halodule uninervis,4333.333333333334,12.625,8
Marereni,Halophila ovalis,2231.1111111111113,2.8,5
Marereni,Syringodium isoetifolium,2044.4444444444443,15.666666666666666,3
Marereni,Thalassodendron ciliatum,791.1111111111111,12.3,10
Ngomeni,Cymodocea rotundata,1051.851851851852,13.333333333333334,3
Ngomeni,Cymodocea serrulata,1007.4074074074074,20.666666666666668,3
Ngomeni,Enhalus acoroides,477.77777777777777,57.5,4
Ngomeni,Halodule uninervis,1833.3333333333335,13.416666666666666,12
Ngomeni,Halophila ovalis,2844.4444444444443,4,1
Ngomeni,Syringodium isoetifolium,3540.740740740741,31,3
Ngomeni,Thalassodendron ciliatum,995.5555555555555,30,5
Roka,Cymodocea rotundata,1244.4444444444446,16,1
Roka,Thalassia hemprichii,1415.873015873016,11.571428571428571,7
Roka,Thalassodendron ciliatum,1948.7179487179487,37.92307692307692,13
Takaungu,Thalassodendron ciliatum,1364.4444444444446,20,10
Wesa,Cymodocea rotundata,1177.7777777777778,11.5,2
Wesa,Thalassia hemprichii,1968.2539682539684,12,7
Wesa,Thalassodendron ciliatum,1455.5555555555557,25.333333333333332,12
