"ecosystem_type","country","area","accounting_unit","pa_status","n_plots","ci_stem_density","ci_mean_dbh","ci_mean_height","ci_canopy_cover","ci_quality_index","ci_composite","low_sample","year"
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Kilifi Creek","Mandarini","Unprotected",2,0.696428571428571,0.132224021162485,0.269147619047619,0,0.383333333333333,0.296226708994402,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Kilifi Creek","Mtongani","Unprotected",3,0.547619047619048,0.32445129045702,0.295291567524695,0,0.0148148148148148,0.236435344083116,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Marereni","Kadzuyuni","Unprotected",2,1,0.169610943728463,0.389556708673091,0.666666666666667,0.0258620689655172,0.450339277606748,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Marereni","Kurawa-kanagoni","Unprotected",2,1,0.153997238619298,0.37534155597723,0.5,0.0663919413919414,0.419146147197694,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Marereni","Kwa Nzai","Unprotected",1,1,0.232542374955451,0.566744186046512,0,0.232558139534884,0.406368940107369,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Marereni","Mto wa Mawe","Unprotected",4,0.919642857142857,0.11781085448382,0.106974828161154,0.333333333333333,0.535554371002132,0.402663248824659,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Boardwalk","Mida Creek MNR",2,0.517857142857143,0.164482520740257,0.194958498023715,0.166666666666667,0.333333333333333,0.275459632324223,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Debaso Rock","Mida Creek MNR",2,0.910714285714286,0.2999366755144,0.577314814814815,0.666666666666667,0.148148148148148,0.520556118171663,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Kachaa","Mida Creek MNR",1,1,0.172881902947845,0.517543859649123,0.666666666666667,0.12280701754386,0.495979889361499,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Kidundu","Mida Creek MNR",1,1,0.275667417279019,0.35421052631579,0.666666666666667,0.31578947368421,0.522466816789137,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Kwazimba Island","Mida Creek MNR",1,0.964285714285714,0.24048861393554,0.358857142857143,0.666666666666667,0.0344827586206897,0.452956179273151,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Luwahi","Mida Creek MNR",1,1,0.159764880639297,0.551617647058824,0.666666666666667,0.161764705882353,0.507962780049428,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Mida","Mida Creek MNR",3,0.678571428571429,0.162980638025316,0.018019943019943,0.222222222222222,0.979323308270677,0.412223508021917,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Mwinyihaji","Unprotected",1,1,0.0671934918462023,0,0.166666666666667,0.966942148760331,0.44016046145464,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Mida Creek","Mzodzongoloni","Unprotected",1,1,0.0330314087497237,0.127460317460317,0,0.19047619047619,0.270193583337246,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Ngomeni","Darajani","Unprotected",1,1,0.174807107588961,0.306428571428571,0,0.0392156862745098,0.304090273058408,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Ngomeni","Fisheries","Unprotected",1,0.964285714285714,0.0464087457965326,0.181833333333333,0.333333333333333,0.0344827586206897,0.312068777073921,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Ngomeni","Kaogoni","Unprotected",1,1,0.14210061246398,0.271978021978022,0.666666666666667,0,0.416149060221734,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Ngomeni","Kwa Doughlas","Unprotected",1,1,0.171385945030733,0.227,0.333333333333333,0.533333333333333,0.45301052233948,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Ngomeni","Pwani toto","Unprotected",1,0.821428571428571,0.167359567690465,0.255185185185185,0,0,0.248794664860844,TRUE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Ngomeni","Rasi","Unprotected",3,1,0.159486707026317,0.238374404477268,0.444444444444444,0.483102208525937,0.465081552894793,FALSE,2025
"Intertidal Forests and Shrublands (MFT1.2)","Kenya","Ngomeni","Rasi Msikiti","Unprotected",1,1,0.175680374948486,0,0,0.981481481481482,0.431432371285994,TRUE,2025
