adm3_name,FREQUENCY,SUM_Area_ha
Angoche,211,6801.440514
Aube,407,15327.35992
Bajone,220,11414.58118
Bazaruto,6,40.84468875
Bela Vista,228,3528.449602
Boane,225,1945.604445
Boila,26,7414.419491
Buzi,489,5867.577323
Campo,88,5075.871434
Chicomo,22,1073.136001
Chinde,1024,28775.71625
Cidade Da Beira,450,4595.483328
Cidade Da Matola,27,302.4152953
Cidade De Inhambane,102,883.7888148
Cidade De Maputo,161,1770.272524
Cidade De Pemba,13,529.1650253
Cidade De Quelimane,195,3137.988133
Divinhe,1702,23557.698
Dondo,257,4536.071347
Galinha,240,14385.03117
Gonhane,386,12970.53793
Ibo,33,2430.988585
Ilha De Moçambique,24,234.1653265
Inhaminga,417,12980.41287
Inhassoro,27,1878.107579
Inhassunge,1326,17073.52395
Jangamo,29,473.8185941
Larde,198,3051.342296
Lumbo,37,798.8279581
Lunga,230,9565.845269
Lurio,26,924.5781244
Machanga,660,6920.643692
Macuze,421,6215.006274
Mafambisse,95,544.3596573
Maganja,307,3680.79676
Mahate,93,5569.442294
Maquival,908,8101.111587
Marracuene,185,2343.831311
Marromeu,469,12545.54544
Matibane,90,1043.70267
Matola Rio,57,898.2174436
Maxixe,92,954.0734108
Mazeze,9,145.0031803
Mazula,35,616.7451239
Mbau,41,4821.988807
Mecufi,38,485.6462867
Memba,71,1409.747464
Metuge,95,3996.319166
Micaune,801,20230.70136
Mieze,25,1770.331399
Mocimboa Da Praia,79,3585.518622
Moma,218,7056.511742
Morrumbene,98,1676.837984
Mossuril,108,1161.689959
Mualama,224,17786.04349
Mucojo,117,4825.244224
Mugazine,70,928.1324842
Naburi,172,10043.11212
Nacala,12,180.3643517
Nacala-A-Velha,58,637.5514431
Namaponda,63,3604.946501
Namige,104,6278.601215
Nante,292,5015.330453
Ndelane,17,3679.38969
Nicoadala,582,4562.048485
Nova Mambone,494,12044.71041
Olumbi,163,1174.241042
Palma,99,940.1002212
Pebane,212,14905.95892
Quinga,49,1565.067676
Quionga,69,6316.667708
Quirimba,7,140.3923061
Quissanga,16,2830.355074
Quiterajo,69,2046.577294
Sofala,633,15476.87404
Vilankulo,255,2351.397012
Zongoene,50,358.2507541
