site,asset_id,area_ha,mean_rh100,mean_L4A_agbd,mean_L4A_agbd_se,mean_L2B_cover,mean_L2B_pai,mean_L4A_carbono_mgha,point_count,ci_canopy_height,ci_canopy_cover,ci_agbd,ci_pai,condition_index_composite,gedi_confidence
Morrumbene,1,512.1484932578019,5.156823529,11.26283781,15.14153741,0.045809452,0.115193118,5.293533731,85,0.17973529408333336,0,0.06592460852631579,0.0334323682051282,0.06977306770369433,HIGH
Morrumbene,2,447.8275233233908,5.294947368,10.78988802,14.01217555,0.051245643,0.124254032,5.071247347,95,0.19124561399999998,0,0.06094618968421052,0.03807899076923077,0.07256769861336032,HIGH
Morrumbene,3,108.78261041880727,5.771333333,10.20641909,9.594597053,0.049061148,0.125484245,4.797017013,15,0.2309444444166667,0,0.05480441147368422,0.038709869230769224,0.08111468128028004,MEDIUM
Save,1,841.205834,4.963529412,11.88914156,17.13841988,0.023891804,0.049206114,5.587896518,17,0.16362745099999998,0,0.07251727957894738,0,0.05903618264473684,MEDIUM
Save,2,26.61711,4.275,12.334412,17.1389785,0.080077205,0.16702609,5.7971737,2,0.10625000000000002,0,0.07720433684210527,0.06001337948717948,0.06086692908232119,LOW
Save,3,103.703223,7.796666667,27.33172167,17.134382,0.434283623,1.742366027,12.8459088,3,0.39972222225000004,0.2065901892307693,0.23507075442105263,0.8678800138461539,0.42731579493699395,LOW
Save,4,5.86617,4.59,12.673043,17.138199,0.073441215,0.15257065,5.9563303,1,0.13249999999999998,0,0.08076887368421053,0.05260033333333333,0.06646730175438595,LOW
Save,5,116.975614,5.378823529,14.59775679,17.137657,0.142966143,0.44912417,6.860945735,17,0.19823529408333332,0,0.10102901884210526,0.20467906153846155,0.12598584361597504,MEDIUM
Save,6,248.231243,4.639032258,9.080591884,13.94638968,0.015486183,0.031527177,4.267878157,31,0.13658602150000002,0,0.042953598778947374,0,0.044884905069736844,HIGH
Save,7,235.564255,4.551428571,12.17209757,17.13891414,0.0782482,0.164719961,5.720885886,7,0.12928571425,0,0.07549576389473685,0.05883074923076923,0.06590305684387653,MEDIUM
Save,8,299.376863,6.256666667,20.75005,17.136477,0.327833205,1.2930461,9.75252355,6,0.2713888889166667,0.042820315384615434,0.16579000000000002,0.6374595384615385,0.27936468569070516,MEDIUM
