Area,Date,Total_Cover_pct,Species_Richness,Cymodocea_rotundata_pct,Syringodium_isoetifolium_pct,Thalassodendron_ciliatum_pct,Halodule_uninervis_pct,Halophila_stipulacea_pct,Thalassia_hemprichii_pct,Halophila_ovalis_pct,Cymodocea_serrulata_pct,Enhalus_acoroides_pct,n_quadrats_cover
Bofa,NA,81.18644067796609,3,60,65,83.70370370370371,0,0,0,0,0,0,59
Kanamai -Jumba ruins,NA,59.568965517241374,5,85,40,59.666666666666664,50,26.666666666666668,0,0,0,0,116
Kikambala,NA,56.45833333333333,2,80,0,0,0,0,53.72093023255813,0,0,0,48
Kuruwitu,NA,60.34883720930233,3,42.727272727272734,0,51.666666666666664,0,0,46.111111111111114,0,0,0,86
Malindi marine park,2024-11-16,80.33898305084746,3,0,0,79.80392156862744,62.857142857142854,0,0,38.333333333333336,0,0,59
Malindi marine park,2024-11-17,80.57894736842107,6,43,41.19047619047619,69.80392156862744,45.5,0,51.07142857142857,30,0,0,95
Marereni,2024-11-13,57.75,5,7,28.225806451612907,48.25,26.153846153846153,0,0,25.90909090909091,0,0,60
Ngomeni,2024-11-15,77.4375,8,31.53846153846154,37.391304347826086,100,61.61290322580645,0,20,11.25,34,55,80
Roka,NA,71.52542372881356,4,13.75,0,84.86486486486487,5,0,48.33333333333333,0,0,0,59
Takaungu,NA,74.0506329113924,3,0,51.666666666666664,75.47945205479452,0,0,30,0,0,0,79
Wesa,NA,84.30379746835443,4,50.526315789473685,0,93,52.5,0,55.3125,0,0,0,79
